City,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Orange Cove city, California",9750,10190,10205,10215,10220,10258,10272,10293,10286,10273
"Orinda city, California",17820,18124,18333,18674,18973,19251,19521,19707,19821,19926
"Orland city, California",7384,7452,7397,7442,7486,7489,7523,7622,7635,7827
"Oroville city, California",18700,18604,18640,18750,18945,18956,18996,19103,19130,20737
"Oxnard city, California",198539,199968,201105,202835,204560,206228,207455,208831,209271,208881
"Pacifica city, California",37394,37844,38335,38722,39074,39309,39267,38999,38754,38546
"Pacific Grove city, California",15081,15214,15355,15435,15495,15551,15585,15575,15487,15413
"Palmdale city, California",152936,153996,154861,156495,156770,156988,156739,156558,156158,155079
"Palm Desert city, California",48684,49251,49775,50357,50916,51552,52077,52794,53129,53275
"Palm Springs city, California",44781,45225,45716,46158,46634,47111,47577,48048,48355,48518
"Palo Alto city, California",64535,65345,66089,66613,66848,66782,67353,66960,66258,65364
"Palos Verdes Estates city, California",13435,13480,13508,13541,13548,13555,13536,13462,13360,13273
"Paradise town, California",26198,26085,26165,26245,26353,26378,26482,26629,26711,4476
"Paramount city, California",54104,54329,54580,54854,54914,54971,54789,54621,54259,53955
"Parlier city, California",14614,14703,14789,14882,14991,15141,15213,15283,15342,15618
"Pasadena city, California",137111,137652,138097,139292,139529,141025,141601,141757,140906,141029
"Patterson city, California",20647,20719,20827,20985,21270,21509,21824,22125,22345,22524
"Perris city, California",69000,70426,71229,72295,73485,74613,76046,77563,78903,79291
"Petaluma city, California",58037,58236,58728,59337,59753,60295,60468,60682,61826,60520
"Pico Rivera city, California",62960,63221,63430,63597,63637,63670,63438,63133,62677,62027
"Piedmont city, California",10711,10815,10946,11085,11228,11361,11401,11368,11251,11135
"Pinole city, California",18377,18528,18701,18880,19057,19232,19330,19333,19325,19250
"Pismo Beach city, California",7667,7696,7781,7856,7900,8117,8180,8220,8206,8168
"Pittsburg city, California",63522,64546,65523,66646,67974,69260,70798,72000,72450,72588
"Placentia city, California",50994,51503,51838,52105,52108,52202,52154,51916,51538,51233
"Placerville city, California",10479,10436,10445,10562,10674,10762,10810,11020,11064,11175
"Pleasant Hill city, California",33155,33420,33735,34062,34385,34700,34883,34903,34889,34839
"Pleasanton city, California",70381,71133,72098,74026,77454,79265,82330,82831,82357,81777
"Plymouth city, California",985,979,971,968,965,973,985,995,1036,1076
"Point Arena city, California",449,447,448,446,448,448,448,449,452,449
"Pomona city, California",149107,149693,150453,151072,152225,152407,152445,152468,151925,151691
"Porterville city, California",58197,58540,58708,58891,58995,59721,59699,59745,59685,59599
"Port Hueneme city, California",21726,21755,21823,22114,22049,22334,22243,22217,22117,21926
"Portola city, California",2093,2060,2014,1961,1929,1906,1927,1922,1928,1930
"Portola Valley town, California",4359,4410,4466,4514,4572,4603,4612,4596,4591,4568
"Poway city, California",47951,48622,48997,49377,49649,49877,49915,49802,49576,49323
"Rancho Cordova city, California",65067,65970,66725,67722,69389,70640,72162,73398,74478,75087
"Rancho Cucamonga city, California",166226,167928,169959,170815,173220,174203,175782,176921,177345,177603
"Rancho Mirage city, California",17218,17358,17474,17607,17761,17886,18053,18225,18305,18528
"Rancho Palos Verdes city, California",41692,42027,42202,42326,42368,42401,42303,42136,41821,41530
"Rancho Santa Margarita city, California",47918,48331,48588,49038,49069,49027,48828,48566,48197,47896
"Red Bluff city, California",14086,14060,14056,14022,13987,14097,14167,14265,14303,14539
"Redding city, California",89895,90180,90397,90773,91120,90963,91203,91525,91606,92590
"Redlands city, California",68807,69320,69637,69800,70209,70625,71027,71342,71416,71513
"Redondo Beach city, California",66933,67192,67438,67629,67673,67771,67809,67511,67206,66749
"Redwood City city, California",77010,77970,79188,81034,82741,85274,85293,86394,86105,85925
"Reedley city, California",24414,24768,24848,25002,25395,25541,25583,25602,25607,25658
"Rialto city, California",99329,100563,101278,101547,102031,102485,102896,103234,103232,103526
"Richmond city, California",103631,104882,106023,107083,107921,109062,109663,109860,110189,110567
"Ridgecrest city, California",27684,27904,28275,28569,28591,28616,28604,28699,28851,28973
